,Стоимость,Модель,Год выпуска,Город,Пробег,Объём двигателя,Тип топлива,Тип подачи топлива,Тактность,Коробка передач
216,40000 ₽,Alpha Sport 125, 2014,Нязепетровск,50 км,125 куб. см.,-,карбюратор,4-тактный,механика
217,40000 ₽,Racer Nitro RC200-CK, 2011,Пласт,6 200 км,200 куб. см.,бензин,карбюратор,4-тактный,механика
218,40000 ₽,Racer Fighter RC300CK-N, 2020,Заиграево,3 000 км,270 куб. см.,бензин,карбюратор,4-тактный,механика
219,40000 ₽,Иж Планета 5, 1993,Новокручининский,67 000 км,346 куб. см.,бензин,карбюратор,2-тактный,механика
220,40000 ₽,Урал ИМЗ 8.103-10, 1991,Арсеньев,18 км,650 куб. см.,бензин,карбюратор,4-тактный,механика
221,40000 ₽,Другая Другая, 2023,Москва,-,-,электро,-,-,-
222,40000 ₽,Урал ИМЗ 8.103-10, 1993,Бийск,-,649 куб. см.,бензин,карбюратор,-,механика
223,41000 ₽,Урал ИМЗ 8.1036, 1985,Сальск,25 000 км,650 куб. см.,бензин,карбюратор,4-тактный,механика
224,42000 ₽,Racer Enduro, 2015,Бийск,-,250 куб. см.,-,карбюратор,-,механика
225,42000 ₽,Иж Юпитер 3, 1993,Шаховская,20 000 км,350 куб. см.,бензин,карбюратор,2-тактный,механика
226,42420 ₽,Motoland XT 50, 2025,Барнаул,-,49 куб. см.,бензин,карбюратор,2-тактный,механика
227,43000 ₽,Иж Юпитер 4, 1984,Новосибирск,-,345 куб. см.,бензин,карбюратор,2-тактный,механика
228,43000 ₽,KXD KXD, 2015,Красноярск,111 км,50 куб. см.,бензин,карбюратор,4-тактный,автомат
229,43000 ₽,Alpha 110, 2022,Холм-Жирковский,9 000 км,110 куб. см.,бензин,карбюратор,4-тактный,механика
230,43000 ₽,ЗиД ЗиД, 2000,Москва,7 км,175 куб. см.,бензин,карбюратор,2-тактный,механика
231,43000 ₽,STELS Stels, 2012,Бахчисарай,11 000 км,110 куб. см.,бензин,-,4-тактный,-
232,43000 ₽,Orion 125, 2015,Иркутск,-,125 куб. см.,бензин,-,4-тактный,-
233,43000 ₽,Kayo Mini YX125EM, 2021,Феодосия,700 км,125 куб. см.,бензин,карбюратор,4-тактный,механика
234,45000 ₽,Урал М-67 36, 1980,Уяр,-,649 куб. см.,бензин,карбюратор,4-тактный,механика
235,45000 ₽,Урал М-72, 1982,Хомутово,14 000 км,32 куб. см.,бензин,карбюратор,4-тактный,механика
